Time (s),EMG_Relaxed (mV),EMG_Contracted (mV)
0,0.006408157,0.077322913
0.000488329,0.020228114,0.090927549
0.000976658,0.024025098,0.105867615
0.001464987,0.029097414,0.108857588
0.001953316,0.041916209,0.096335508
0.002441645,0.057447361,0.091556062
0.002929974,0.068660259,0.099195884
0.003418303,0.070869095,0.095489272
0.003906632,0.068699116,0.071213923
0.00439496,0.070671016,0.045074162
0.004883289,0.076569417,0.038661356
0.005371618,0.07726219,0.054262153
0.005859947,0.066845173,0.074456749
0.006348276,0.051973121,0.081433509
0.006836605,0.041950949,0.063548494
0.007324934,0.036842999,0.013309211
0.007813263,0.029955505,-0.057034977
0.008301592,0.013587878,-0.121235084
0.008789921,-0.013501067,-0.156026266
0.00927825,-0.039390808,-0.146289077
0.009766579,-0.053908346,-0.108171278
0.010254908,-0.060965126,-0.082640841
0.010743237,-0.066816009,-0.084895454
0.011231566,-0.071447875,-0.093707762
0.011719895,-0.07213487,-0.087814499
0.012208223,-0.072193143,-0.066033355
0.012696552,-0.07506453,-0.039457414
0.013184881,-0.076529433,-0.023599505
0.01367321,-0.074951369,-0.026695801
0.014161539,-0.070256556,-0.035538911
0.014649868,-0.061043279,-0.0331707
0.015138197,-0.047730884,-0.022399932
0.015626526,-0.030012579,-0.009432739
0.016114855,-0.011758194,0.008918508
0.016603184,0.003101743,0.029766939
0.017091513,0.015573341,0.043079837
0.017579842,0.025958072,0.045066673
0.018068171,0.036821261,0.044285492
0.0185565,0.049527617,0.055736786
0.019044829,0.061158843,0.083878844
0.019533158,0.070117331,0.111805268
0.020021486,0.075784045,0.116261449
0.020509815,0.080933504,0.096613442
0.020998144,0.085312137,0.069820134
0.021486473,0.080476309,0.044103106
0.021974802,0.06736992,0.020192119
0.022463131,0.058588792,0.003414263
0.02295146,0.059065015,0.003967524
0.023439789,0.057578022,0.024922205
0.023928118,0.043810595,0.050440321
0.024416447,0.026127689,0.059261354
0.024904776,0.011273632,0.046145333
0.025393105,-0.006190001,0.022188336
0.025881434,-0.023406883,0.003245808
0.026369763,-0.03585312,-0.009230741
0.026858092,-0.047846698,-0.032493826
0.027346421,-0.061440714,-0.069308581
0.027834749,-0.073217694,-0.098369557
0.028323078,-0.077438119,-0.114979829
0.028811407,-0.07446647,-0.133134704
0.029299736,-0.070799772,-0.145324162
0.029788065,-0.06782082,-0.137778426
0.030276394,-0.06510467,-0.122001554
0.030764723,-0.062047638,-0.106199334
0.031253052,-0.056530622,-0.077319864
0.031741381,-0.047717683,-0.029942888
0.03222971,-0.034156049,0.018583349
0.032718039,-0.01814337,0.043998607
0.033206368,-0.003937855,0.04289615
0.033694697,0.005908885,0.032554062
0.034183026,0.013089456,0.025913656
0.034671355,0.027339166,0.033848065
0.035159684,0.047134575,0.064501117
0.035648013,0.059663346,0.102171238
0.036136341,0.06454165,0.123606052
0.03662467,0.066726473,0.128108194
0.037112999,0.070146829,0.125286728
0.037601328,0.077427022,0.11084646
0.038089657,0.081436685,0.073124127
0.038577986,0.076978208,0.026491485
0.039066315,0.066089449,0.005736973
0.039554644,0.05263945,0.009555558
0.040042973,0.042853407,0.00064717
0.040531302,0.038192792,-0.033712004
0.041019631,0.031889206,-0.06990511
0.04150796,0.014952868,-0.082407438
0.041996289,-0.007743622,-0.059430722
0.042484618,-0.021196606,-0.01141785
0.042972947,-0.026801793,0.032342889
0.043461276,-0.035817689,0.054419715
0.043949604,-0.049763152,0.059128664
0.044437933,-0.061201038,0.05402847
0.044926262,-0.066037716,0.035596136
0.045414591,-0.071397871,-0.007129719
0.04590292,-0.079862303,-0.075027171
0.046391249,-0.082147528,-0.144406393
0.046879578,-0.076043069,-0.173942417
0.047367907,-0.068581547,-0.150560387
0.047856236,-0.061592144,-0.111277807
0.048344565,-0.05263805,-0.088897034
0.048832894,-0.042371294,-0.072825795
0.049321223,-0.031325131,-0.042970962
0.049809552,-0.016497766,-0.008953891
0.050297881,0.002137946,0.008053705
0.05078621,0.019431635,0.008168874
0.051274539,0.030743612,0.005269348
0.051762867,0.037911693,0.008246073
0.052251196,0.049264261,0.017391124
0.052739525,0.06333156,0.029352631
0.053227854,0.069891458,0.040072128
0.053716183,0.071811158,0.045467617
0.054204512,0.0751858,0.047149073
0.054692841,0.076941522,0.052340469
0.05518117,0.076107205,0.06313081
0.055669499,0.073299634,0.070772758
0.056157828,0.066783384,0.070149027
0.056646157,0.05581945,0.067825557
0.057134486,0.042564485,0.061867175
0.057622815,0.030140545,0.04345959
0.058111144,0.015932832,0.02316788
0.058599473,-0.002515128,0.018862651
0.059087802,-0.018941834,0.024876075
0.05957613,-0.030054065,0.02771487
0.060064459,-0.039251387,0.024933718
0.060552788,-0.048563287,0.001929921
0.061041117,-0.059002071,-0.054935786
0.061529446,-0.070793453,-0.11961762
0.062017775,-0.081492923,-0.146887158
0.062506104,-0.085271814,-0.119451233
0.062994433,-0.082159976,-0.0682184
0.063482762,-0.078362394,-0.036318649
0.063971091,-0.072546871,-0.026687461
0.06445942,-0.063402096,-0.022396997
0.064947749,-0.053792951,-0.020036034
0.065436078,-0.041709181,-0.013164333
0.065924407,-0.025387461,0.005902243
0.066412736,-0.008244477,0.023019729
0.066901065,0.004650057,0.012803902
0.067389393,0.015943897,-0.024803344
0.067877722,0.031480874,-0.050258678
0.068366051,0.044911892,-0.033294834
0.06885438,0.053629244,0.00449107
0.069342709,0.066171659,0.039622667
0.069831038,0.078547887,0.079208584
0.070319367,0.081906543,0.116433679
0.070807696,0.078465957,0.127381743
0.071296025,0.074067032,0.102600536
0.071784354,0.074129739,0.059958053
0.072272683,0.075265245,0.03567657
0.072761012,0.069348762,0.040240809
0.073249341,0.059449686,0.05315887
0.07373767,0.048599735,0.063852709
0.074225999,0.033469192,0.069999582
0.074714328,0.017483992,0.062341918
0.075202657,0.005885941,0.041011529
0.075690985,-0.002918548,0.016496088
0.076179314,-0.01231008,-0.008295404
0.076667643,-0.0247271,-0.03512467
0.077155972,-0.041348494,-0.060648829
0.077644301,-0.059757492,-0.076603624
0.07813263,-0.073416753,-0.082517195
0.078620959,-0.078977365,-0.094206273
0.079109288,-0.079133274,-0.112490435
0.079597617,-0.075653947,-0.109229049
0.080085946,-0.071845899,-0.073605135
0.080574275,-0.068771508,-0.031772745
0.081062604,-0.063097752,-0.013265717
0.081550933,-0.05797622,-0.022874064
0.082039262,-0.053385162,-0.039245617
0.082527591,-0.04222213,-0.037346657
0.08301592,-0.022501601,-0.015146586
0.083504248,0.000640894,0.010286083
0.083992577,0.015425417,0.029463907
0.084480906,0.019575924,0.042323513
0.084969235,0.026479316,0.047600059
0.085457564,0.040272808,0.050151443
0.085945893,0.055422865,0.059120422
0.086434222,0.068981852,0.072865314
0.086922551,0.075804061,0.080851927
0.08741088,0.076317733,0.076468724
0.087899209,0.077793341,0.055569831
0.088387538,0.080374811,0.014548049
0.088875867,0.07808463,-0.032663323
0.089364196,0.067684131,-0.052769585
0.089852525,0.054744385,-0.030189141
0.090340854,0.046262082,0.010180836
0.090829183,0.038385311,0.028034697
0.091317511,0.026526304,0.004838206
0.09180584,0.013690798,-0.042041253
0.092294169,0.000385039,-0.082460366
0.092782498,-0.015932957,-0.105903408
0.093270827,-0.034410714,-0.117561004
0.093759156,-0.050368502,-0.108042978
0.094247485,-0.059548681,-0.061069479
0.094735814,-0.065910326,0.003065128
0.095224143,-0.072712773,0.041780726
0.095712472,-0.076965919,0.045384207
0.096200801,-0.081451811,0.034247245
0.09668913,-0.086309405,0.017981575
0.097177459,-0.085553443,-0.0085274
0.097665788,-0.077037915,-0.040896439
0.098154117,-0.063503894,-0.062400825
0.098642446,-0.053330025,-0.063561392
0.099130774,-0.046739368,-0.051963783
0.099619103,-0.035192603,-0.040634113
0.100107432,-0.018960469,-0.037730406
0.100595761,-0.00282241,-0.04313634
0.10108409,0.011607939,-0.047374468
0.101572419,0.025255256,-0.040987546
0.102060748,0.039228984,-0.026135413
0.102549077,0.052301512,-0.007160695
0.103037406,0.061625317,0.025947735
0.103525735,0.065237926,0.075979509
0.104014064,0.067826059,0.120038794
0.104502393,0.074838463,0.13246417
0.104990722,0.081953558,0.111945886
0.105479051,0.082642868,0.090994792
0.10596738,0.078389179,0.101103019
0.106455709,0.074329007,0.127312313
0.106944038,0.067951844,0.128085006
0.107432366,0.055540805,0.096941791
0.107920695,0.042387087,0.072509993
0.108409024,0.028512078,0.079620719
0.108897353,0.008730097,0.097830734
0.109385682,-0.013085067,0.10168005
0.109874011,-0.031121166,0.094139579
0.11036234,-0.045031161,0.085578844
0.110850669,-0.055639961,0.065142568
0.111338998,-0.062073738,0.012910766
0.111827327,-0.067782558,-0.067506409
0.112315656,-0.077316949,-0.149704528
0.112803985,-0.086281287,-0.207462915
